"","x"
"1","TP53I3"
"2","INSYN2A"
"3","ANK1"
"4","SERPINB5"
"5","DRAXIN"
"6","ALOX12B"
"7","CLCA2"
"8","ALOX5"
"9","CRPPA"
"10","AXL"
"11","MAPKBP1"
"12","IP6K3"
"13","UNC13A"
"14","P3H2"
"15","DPYSL4"
"16","ARHGAP23"
"17","NUPR1"
"18","PLB1"
"19","IGHG1"
"20","PDE4C"
"21","CACNG6"
"22","ASPG"
"23","CAVIN2"
"24","SUGCT"
"25","ALDH3A1"
"26","SPRR1B"
"27","PSG6"
"28","TP53AIP1"
"29","XG"
"30","DSCAML1"
"31","TSPEAR"
"32","NODAL"
"33","ESRRB"
"34","PDE4C"
"35","RTN1"
"36","VSIR"
"37","SMOC1"
"38","ABCG4"
"39","TMPRSS7"
"40","EMX1"
"41","TMEM140"
"42","IGHG3"
